iter	Passed	Remaining
0	243	243350
1	408	204013
2	595	198038
3	799	198992
4	975	194100
5	1212	200881
6	1416	200976
7	1571	194923
8	1723	189777
9	2001	198115
10	2166	194758
11	2338	192504
12	2492	189246
13	2619	184485
14	2833	186048
15	2999	184475
16	3258	188443
17	3445	187962
18	3554	183517
19	3717	182166
20	3858	179867
21	3987	177281
22	4168	177073
23	4345	176735
24	4492	175212
25	4656	174453
26	4784	172435
27	4914	170604
28	5105	170962
29	5267	170327
30	5422	169503
31	5550	167911
32	5695	166901
33	5851	166246
34	6003	165512
35	6167	165159
36	6299	163962
37	6456	163441
38	6648	163815
39	6793	163042
40	6946	162488
41	7117	162339
42	7270	161802
43	7450	161869
44	7613	161576
45	7753	160802
46	7893	160054
47	8040	159477
48	8201	159166
49	8367	158989
50	8534	158800
51	8710	158806
52	8877	158629
53	9018	157992
54	9144	157125
55	9288	156569
56	9441	156195
57	9588	155726
58	9785	156069
59	9976	156302
60	10156	156340
61	10346	156525
62	10522	156506
63	10681	156209
64	10866	156305
65	11011	155828
66	11172	155587
67	11371	155863
68	11532	155600
69	11693	155351
70	11851	155067
71	12053	155356
72	12221	155199
73	12395	155116
74	12566	154985
75	12730	154779
76	12869	154270
77	13042	154163
78	13197	153861
79	13329	153290
80	13493	153089
81	13643	152740
82	13793	152397
83	13955	152181
84	14135	152169
85	14326	152265
86	14477	151931
87	14638	151705
88	14789	151388
89	14959	151253
90	15134	151180
91	15270	150710
92	15439	150580
93	15565	150020
94	15702	149584
95	15872	149469
96	16053	149449
97	16210	149199
98	16370	148988
99	16538	148847
100	16707	148713
101	16853	148372
102	16991	147976
103	17134	147622
104	17295	147425
105	17460	147259
106	17603	146918
107	17751	146614
108	17940	146651
109	18092	146386
110	18255	146209
111	18401	145897
112	18538	145521
113	18695	145302
114	18847	145040
115	18944	144373
116	19097	144129
117	19241	143818
118	19382	143495
119	19541	143302
120	19703	143135
121	19861	142938
122	20028	142803
123	20169	142489
124	20299	142095
125	20461	141931
126	20626	141783
127	20771	141506
128	20913	141203
129	21083	141098
130	21231	140842
131	21381	140601
132	21544	140444
133	21690	140176
134	21852	140017
135	22007	139812
136	22143	139487
137	22293	139256
138	22454	139087
139	22606	138868
140	22764	138688
141	22921	138497
142	23070	138259
143	23225	138065
144	23389	137920
145	23549	137746
146	23703	137547
147	23847	137285
148	23992	137029
149	24146	136831
150	24298	136617
151	24469	136515
152	24602	136200
153	24755	135993
154	24921	135862
155	25082	135701
156	25218	135409
157	25382	135264
158	25535	135064
159	25696	134904
160	25850	134711
161	25993	134457
162	26116	134109
163	26285	133991
164	26443	133820
165	26605	133667
166	26758	133472
167	26911	133275
168	27069	133106
169	27205	132828
170	27355	132618
171	27527	132514
172	27699	132411
173	27837	132145
174	28000	132003
175	28164	131863
176	28318	131675
177	28499	131611
178	28662	131464
179	28822	131302
180	28982	131140
181	29145	130993
182	29310	130855
183	29481	130743
184	29629	130529
185	29785	130350
186	29924	130098
187	30088	129954
188	30234	129735
189	30385	129538
190	30553	129411
191	30707	129226
192	30859	129034
193	31015	128859
194	31157	128624
195	31320	128478
196	31462	128245
197	31636	128144
198	31777	127909
199	31908	127634
200	32054	127419
201	32217	127275
202	32366	127074
203	32543	126983
204	32703	126826
205	32861	126660
206	33016	126481
207	33175	126320
208	33332	126152
209	33471	125917
210	33629	125751
